Képzés neve,Kinek szól
Miért vezesd be a teljesítménybérezést?,Vezetők
Hogy legyetek vonzó munkahely?,"Vezetők, Munkatársak"
Panaszkezelés mesterfokon: hogy csináld?,"Vezetők, Munkatársak"
Hogyan helyezd szilárd alapokra pénzügyeid és árazásod?,"Vezetők, Munkatársak"
Hogyan készíts Facebook/Instagram posztokat?,"Vezetők, Munkatársak"
Miért írd meg Orientációs folyamatleírásod?,"Vezetők, Munkatársak"
Hogyan írj céges Elveket?,"Vezetők, Munkatársak"
Mi a sikeres értékesítés titka?,"Vezetők, Munkatársak"
"Mit kezdj egy jó szakemberrel, ha rongálja a csapatod?",Vezetők
Miként készíts karriertervezést munkatársaidnak?,Vezetők
Miért is vagy egyedül cégvezetőként?,Vezetők
Mi a különbség a Marketing és a PR között?,"Vezetők, Munkatársak"
Milyen egy jó vezető?,Vezetők
Mi a kulcsa a megfelelő munkatársak felvételének?,"Vezetők, Munkatársak"
Mi a posztjaid sikeres átadásának kulcsa?,"Vezetők, Munkatársak"
Hogyan készítsd el saját szervezeti ábrádat?,Vezetők
"Miként kezeld, ha munkatársaid nincsenek jóban?",Vezetők
A kommunikáció alapjai,"Vezetők, Munkatársak"
Mi a titka a hatékony szervezésnek 2024-ben?,"Vezetők, Munkatársak"
Hogyan használd a Google Drive-ot?,"Vezetők, Munkatársak"
Miért van szükséged napi jelentésre?,"Vezetők, Munkatársak"
Hogyan ismerj fel egy gerinctelen személyt?,"Vezetők, Munkatársak"
Hogyan írj Folyamatleírásokat?,"Vezetők, Munkatársak"
Hogyan írj meg sikeresen egy Elvet?,"Vezetők, Munkatársak"
Mi a titka az új kollégák sikeres pozícióba helyezésének?,Vezetők
Mi a titka a céged küldetésének megalkotásának?,Vezetők
Cégfejlesztési eszközök bevezetése,"Vezetők, Munkatársak"
Hogyan működik a beszerzési igénylés/jóváhagyás?,"Vezetők, Munkatársak"
Hogy maximalizáld Google hirdetéseid eredményét?,"Vezetők, Munkatársak"
Hogyan írj meg hatékonyan egy Folyamatleírást?,"Vezetők, Munkatársak"
Hogy találd meg a megfelelő pozíciót a munkatársaid számára?,Vezetők
Hogyan oszd ki hatékonyan a feladatokat?,Vezetők
Miért ne nézd el a hibákat?,"Vezetők, Munkatársak"
Mi a receptje a hatékony kommunikációnak?,"Vezetők, Munkatársak"
Évtervező: hogyan tervezz meg egy sikeres évet?,Vezetők
Hogyan keltsd fel az érdeklődést 1 perc alatt?,"Vezetők, Munkatársak"
Értékesítés alapjai,"Vezetők, Munkatársak"
PR és marketing kampányok tervezése/kivitelezése,"Vezetők, Munkatársak"
Hogyan tarts gördülékeny meetinget vezetőként?,Vezetők
Hogyan találd meg saját Sündisznó-Elved?,Vezetők
Hogy néz ki egy remek “csali-termék”?,"Vezetők, Munkatársak"
"Vezetői időbeosztás: énidő, család, munka",Vezetők
Egy rendszerezett termelési folyamat felépítése,"Vezetők, Munkatársak"
Teljesítménybérezés: motivál vagy frusztrál?,"Vezetők, Munkatársak"
Hogyan oktasd mesterfokon munkatársaid?,Vezetők
Miért fontos a történetmesélés a marketingben?,"Vezetők, Munkatársak"
Hogyan alkalmazkodj a változó piaci körülményekhez?,Vezetők
Milyen feladatai vannak az ügyvezetésnek?,Vezetők
"Miért pénzégetés a marketinged, és hogyan javíts rajta?","Vezetők, Munkatársak"
Hogyan kezeld a generációs különbségeket?,"Vezetők, Munkatársak"
Hatékony folyamatok: hogy segít egy lendkerék a cégedben?,"Vezetők, Munkatársak"
Egy innovatív vállalkozás alapelemei,"Vezetők, Munkatársak"
Az innovatív gondolkodás titka,"Vezetők, Munkatársak"
A minőségellenőrzés fontossága,"Vezetők, Munkatársak"
Milyen módon válhatsz jóból kiváló céggé?,Vezetők
Miért ne tukmálj egy értékesítés során?,"Vezetők, Munkatársak"
Jeff Bezos kommunikációs módszere,"Vezetők, Munkatársak"
Mitől kitűnő egy HR vezető?,Vezetők
Célravezető kommunikáció a cégen belül,"Vezetők, Munkatársak"
Mikor lehetsz boldog vezetőként?,Vezetők
Egy működő törzsvásárlói rendszer alapjai,"Vezetők, Munkatársak"
Hogyan adj át könnyen elveket a munkatársaidnak?,"Vezetők, Munkatársak"
A hatásos meggyőzés pszichológiája,"Vezetők, Munkatársak"
A korrekció művészete: visszajelzés vezetői szemmel,Vezetők
Miből áll egy hatékony értékesítési rendszer?,"Vezetők, Munkatársak"
Hogyan találd meg személyes küldetésed?,"Vezetők, Munkatársak"
Hogyan építs fel kiváló stratégiát?,Vezetők
Árazástechnika: miért éri meg drágábbnak lenni?,"Vezetők, Munkatársak"
Hogyan motiváld vezetőidet?,Vezetők
Hogyan motiváld munkatársaidat?,"Vezetők, Munkatársak"
Mikor jutalmazz vagy büntess?,"Vezetők, Munkatársak"
A taktikai kiválóság alapelvei,"Vezetők, Munkatársak"
Stratégia és taktika: hogyan előzd meg versenytársaid?,Vezetők
Milyen egy kiemelkedő vezetői stílus?,Vezetők
Hatékonyabb folyamatok: Elon Musk algoritmusa,"Vezetők, Munkatársak"
Mi a kapcsolatépítés 9 alapszabálya?,"Vezetők, Munkatársak"
Hogyan építsd fel saját Vállalati Térképed?,Vezetők
A profi értékesítés alapjai,"Vezetők, Munkatársak"
Milyen marketing eszközök léteznek?,"Vezetők, Munkatársak"
Mit kell tennie egy kiváló pénzügyi vezetőnek?,Vezetők
Pénzügyi alapok: amit nem mondanak el neked,Vezetők
Mi egy jó középvezető feladata?,"Vezetők, Munkatársak"
Miként tervezd meg mindennapi feladataid?,"Vezetők, Munkatársak"
Mire figyelj és mit kérdezz egy állásinterjún?,"Vezetők, Munkatársak"
Miért a megfelelő emberek teszik naggyá a céged?,"Vezetők, Munkatársak"
"Integrálás Elve: 4 lépés, hogy a tanulás működjön","Vezetők, Munkatársak"
,
Miért és hogyan határozd meg az ideális vásárlód?,"Vezetők, Munkatársak"
Hatékony időgazdálkodás a mindennapokban,"Vezetők, Munkatársak"
Hogyan adj ki egy ajánlatot?,"Vezetők, Munkatársak"
A sikeres jövőkép kialakítása 2026-ra,Vezetők
Vállalati Térkép Expedíció: hogy építs struktúrát 6 szakaszban?,"Vezetők, Munkatársak"
Hogyan égesd bele márkádat ügyfeleid fejébe?,"Vezetők, Munkatársak"
,
MARKOVICH BÉLA: Jutalmak és Büntetések,"Vezetők, Munkatársak"
BALOGH LEVENTE: Hogy legyél piacvezető?,Vezetők
EGERSZEGI KRISZTIÁN: Hogyan építs fel egy értékesítési rendszert?,"Vezetők, Munkatársak"
BOLYKI BENCE: Egy folyamatfejlesztés első lépései,"Vezetők, Munkatársak"
HAJÓS ISTVÁN: Miért lesz a robotika a jövő rendszere?,"Vezetők, Munkatársak"
"GANGEL PÉTER: Mi egy folyamat evolúciója?
","Vezetők, Munkatársak"
KATONA ZSOMBOR és LUCZY MARTIN: Hogyan készül egy átütő shortvideó?,"Vezetők, Munkatársak"
KOVÁCS FERENC: Generációváltás gördülékenyen,Vezetők
"KÁPLÁR KORNÉL: Önjáró vállalkozás lépésről lépésre
","Vezetők, Munkatársak"
"MIHÁLYI LÁSZLÓ: Hogyan tartsd meg a legjobb szakembereket?
","Vezetők, Munkatársak"
"SZABÓ PÉTER: A jövőképed megalkotásának titka
","Vezetők, Munkatársak"
"FLESCH TAMÁS: A magyar turizmus építőjének vezetői titkai
","Vezetők, Munkatársak"
"GYŐRFI PÁL és HAJÓS ISTVÁN a sikeres kommunikáció titkáról
","Vezetők, Munkatársak"
"Fellélegzik a csapat, ha elküldöd a rossz embereket - SEMSEI RUDOLF
","Vezetők, Munkatársak"
,
Alakíts ki önjáró vállalkozást,"Vezetők, Munkatársak"
Alakíts ki tiszta folyamatokat,"Vezetők, Munkatársak"
Építsd fel a struktúrád,"Vezetők, Munkatársak"
Erősödj meg vezetőként,"Vezetők, Munkatársak"
Előzd meg a konkurenciát,"Vezetők, Munkatársak"
Nyerd vissza az időd,"Vezetők, Munkatársak"
Alakíts ki innovatív gondolkodást,"Vezetők, Munkatársak"
Találd meg a sztárjátékosokat,"Vezetők, Munkatársak"
Hozd tűzbe a csapatodat,"Vezetők, Munkatársak"
Kommunikálj hatékonyan,"Vezetők, Munkatársak"
Építs erős vezetői réteget,"Vezetők, Munkatársak"
Hozz ki többet a marketingből,"Vezetők, Munkatársak"
Vonzd be az új vevőket,"Vezetők, Munkatársak"
Irányítsd a pénzügyeidet,"Vezetők, Munkatársak"
Legyél magabiztos értékesítő,"Vezetők, Munkatársak"
Hozz ki többet az áraidból,"Vezetők, Munkatársak"
Használd a meggyőzés erejét,"Vezetők, Munkatársak"
Alakítsd ki a jövőképed (új akadémiával),"Vezetők, Munkatársak"
Fejlődj jóból kiválóvá,"Vezetők, Munkatársak"
Tedd skálázhatóvá a céged,"Vezetők, Munkatársak"
